Hariltsagchdiin_id,Credit_onoo,Bairshil,Huis,Nas,Dansan_dahi_mongo_usd,Avsan_uilchilgeenii_too,Olon_ulsiin_kardtai_eseh,Idevhtei_hariltsagch_eseh,Avdag_Tsalin_usd,zeel_avsan_eseh
15625047,846,Mongolia,Emegtei,38,0,1,Tiim,Tiim,187616.16,Ugui
15738191,577,Mongolia,Eregtei,25,0,2,Ugui,Tiim,124508.29,Ugui
15736816,756,Germany,Eregtei,36,136815.64,1,Tiim,Tiim,170041.95,Ugui
15700772,571,Mongolia,Eregtei,44,0,2,Ugui,Ugui,38433.35,Ugui
15728693,574,Germany,Emegtei,43,141349.43,1,Tiim,Tiim,100187.43,Ugui
15656300,411,Mongolia,Eregtei,29,59697.17,2,Tiim,Tiim,53483.21,Ugui
15589475,591,Spain,Emegtei,39,0,3,Tiim,Ugui,140469.38,Tiim
15706552,533,Mongolia,Eregtei,36,85311.7,1,Ugui,Tiim,156731.91,Ugui
15750181,553,Germany,Eregtei,41,110112.54,2,Ugui,Ugui,81898.81,Ugui
15659428,520,Spain,Emegtei,42,0,2,Tiim,Tiim,34410.55,Ugui
15732963,722,Spain,Emegtei,29,0,2,Tiim,Tiim,142033.07,Ugui
15794171,475,Mongolia,Emegtei,45,134264.04,1,Tiim,Ugui,27822.99,Tiim
15788448,490,Spain,Eregtei,31,145260.23,1,Ugui,Tiim,114066.77,Ugui
15729599,804,Spain,Eregtei,33,76548.6,1,Ugui,Tiim,98453.45,Ugui
15717426,850,Mongolia,Eregtei,36,0,1,Tiim,Tiim,40812.9,Ugui
15585768,582,Germany,Eregtei,41,70349.48,2,Ugui,Tiim,178074.04,Ugui
15619360,472,Spain,Eregtei,40,0,1,Tiim,Ugui,70154.22,Ugui
15738148,465,Mongolia,Emegtei,51,122522.32,1,Ugui,Ugui,181297.65,Tiim
15687946,556,Mongolia,Emegtei,61,117419.35,1,Tiim,Tiim,94153.83,Ugui
15755196,834,Mongolia,Emegtei,49,131394.56,1,Ugui,Ugui,194365.76,Tiim
15684171,660,Spain,Emegtei,61,155931.11,1,Tiim,Tiim,158338.39,Ugui
15754849,776,Germany,Emegtei,32,109421.13,2,Tiim,Tiim,126517.46,Ugui
15602280,829,Germany,Emegtei,27,112045.67,1,Tiim,Tiim,119708.21,Tiim
15771573,637,Germany,Emegtei,39,137843.8,1,Tiim,Tiim,117622.8,Tiim
15766205,550,Germany,Eregtei,38,103391.38,1,Ugui,Tiim,90878.13,Ugui
15771873,776,Germany,Emegtei,37,103769.22,2,Tiim,Ugui,194099.12,Ugui
15616550,698,Germany,Eregtei,44,116363.37,2,Tiim,Ugui,198059.16,Ugui
15768193,585,Germany,Eregtei,36,146050.97,2,Ugui,Ugui,86424.57,Ugui
15683553,788,Mongolia,Emegtei,33,0,2,Ugui,Ugui,116978.19,Ugui
15702298,655,Germany,Eregtei,41,125561.97,1,Ugui,Ugui,164040.94,Tiim
15569590,601,Germany,Eregtei,42,98495.72,1,Tiim,Ugui,40014.76,Tiim
15760861,619,Mongolia,Eregtei,43,125211.92,1,Tiim,Tiim,113410.49,Ugui
15630053,656,Mongolia,Eregtei,45,127864.4,1,Tiim,Ugui,87107.57,Ugui
15647091,725,Germany,Eregtei,19,75888.2,1,Ugui,Ugui,45613.75,Ugui
15623944,511,Spain,Emegtei,66,0,1,Tiim,Ugui,1643.11,Tiim
15804771,614,Mongolia,Eregtei,51,40685.92,1,Tiim,Tiim,46775.28,Ugui
15651280,742,Germany,Eregtei,35,136857,1,Ugui,Ugui,84509.57,Ugui
15773469,687,Germany,Emegtei,27,152328.88,2,Ugui,Ugui,126494.82,Ugui
15702014,555,Spain,Eregtei,33,56084.69,2,Ugui,Ugui,178798.13,Ugui
15751208,684,Spain,Eregtei,56,78707.16,1,Tiim,Tiim,99398.36,Ugui
15592461,603,Germany,Eregtei,26,109166.37,1,Tiim,Tiim,92840.67,Ugui
15789484,751,Germany,Emegtei,36,169831.46,2,Tiim,Tiim,27758.36,Ugui
15696061,581,Germany,Emegtei,34,101633.04,1,Tiim,Ugui,110431.51,Ugui
15641582,735,Germany,Eregtei,43,123180.01,2,Tiim,Tiim,196673.28,Ugui
15638424,661,Germany,Emegtei,35,150725.53,2,Ugui,Tiim,113656.85,Ugui
15755648,675,Mongolia,Emegtei,21,98373.26,1,Tiim,Ugui,18203,Ugui
15703793,738,Germany,Eregtei,58,133745.44,4,Tiim,Ugui,28373.86,Tiim
15620344,813,Mongolia,Eregtei,29,0,1,Tiim,Ugui,33953.87,Ugui
15812518,657,Spain,Emegtei,37,163607.18,1,Ugui,Tiim,44203.55,Ugui
15779052,604,Germany,Emegtei,25,157780.84,2,Tiim,Tiim,58426.81,Ugui
15770811,519,Mongolia,Eregtei,36,0,2,Ugui,Tiim,145562.4,Ugui
15780961,735,Mongolia,Emegtei,21,178718.19,2,Tiim,Ugui,22388,Ugui
15614049,664,Mongolia,Eregtei,55,0,2,Tiim,Tiim,139161.64,Ugui
15662085,678,Mongolia,Emegtei,32,0,1,Tiim,Tiim,148210.64,Ugui
15575185,757,Spain,Eregtei,33,77253.22,1,Ugui,Tiim,194239.63,Ugui
15803136,416,Scotland,Emegtei,41,122189.66,2,Tiim,Ugui,98301.61,Ugui
15706021,665,Mongolia,Emegtei,34,96645.54,2,Ugui,Ugui,171413.66,Ugui
15663706,777,Mongolia,Emegtei,32,0,1,Tiim,Ugui,136458.19,Tiim
15641732,543,Mongolia,Emegtei,36,0,2,Ugui,Ugui,26019.59,Ugui
15701164,506,Mongolia,Emegtei,34,90307.62,1,Tiim,Tiim,159235.29,Ugui
15738751,493,Mongolia,Emegtei,46,0,2,Tiim,Ugui,1907.66,Ugui
15805254,652,Spain,Emegtei,75,0,2,Tiim,Tiim,114675.75,Ugui
15762418,750,Spain,Eregtei,22,121681.82,1,Tiim,Ugui,128643.35,Tiim
15625759,729,Mongolia,Eregtei,30,0,2,Tiim,Ugui,151869.35,Ugui
15622897,646,Mongolia,Emegtei,46,0,3,Tiim,Ugui,93251.42,Tiim
15767954,635,Scotland,Emegtei,28,81623.67,2,Tiim,Tiim,156791.36,Ugui
15757535,647,Spain,Emegtei,44,0,3,Tiim,Tiim,174205.22,Tiim
15731511,808,Mongolia,Eregtei,45,118626.55,2,Tiim,Ugui,147132.46,Ugui
15809248,524,Mongolia,Emegtei,36,0,2,Tiim,Ugui,109614.57,Ugui
15640635,769,Mongolia,Eregtei,29,0,2,Tiim,Tiim,172290.61,Ugui
15676966,730,Spain,Eregtei,42,0,2,Ugui,Tiim,85982.47,Ugui
15699461,515,Spain,Eregtei,35,176273.95,1,Ugui,Tiim,121277.78,Ugui
15738721,773,Spain,Eregtei,41,102827.44,1,Ugui,Tiim,64595.25,Ugui
15693683,814,Scotland,Eregtei,29,97086.4,2,Tiim,Tiim,197276.13,Ugui
15604348,710,Spain,Eregtei,22,0,2,Ugui,Ugui,99645.04,Ugui
15633059,413,Mongolia,Eregtei,34,0,2,Ugui,Ugui,6534.18,Ugui
15808582,665,Mongolia,Emegtei,40,0,1,Tiim,Tiim,161848.03,Ugui
15743192,623,Mongolia,Emegtei,44,0,2,Ugui,Ugui,167162.43,Ugui
15580146,738,Mongolia,Eregtei,31,82674.15,1,Tiim,Ugui,41970.72,Ugui
15776605,528,Spain,Eregtei,36,0,2,Tiim,Ugui,60536.56,Ugui
15804919,670,Spain,Emegtei,65,0,1,Tiim,Tiim,177655.68,Tiim
15613854,622,Spain,Emegtei,46,107073.27,2,Tiim,Tiim,30984.59,Tiim
15599195,582,Scotland,Eregtei,32,88938.62,1,Tiim,Tiim,10054.53,Ugui
15812878,785,Scotland,Emegtei,36,99806.85,1,Ugui,Tiim,36976.52,Ugui
15602312,605,Spain,Eregtei,33,150092.8,1,Ugui,Ugui,71862.79,Ugui
15744689,479,Scotland,Eregtei,35,92833.89,1,Tiim,Ugui,99449.86,Tiim
15803526,685,Scotland,Eregtei,30,90536.81,1,Ugui,Tiim,63082.88,Ugui
15665790,538,Scotland,Eregtei,39,108055.1,2,Tiim,Ugui,27231.26,Ugui
15715951,562,Mongolia,Eregtei,42,100238.35,1,Ugui,Ugui,86797.41,Ugui
15591100,675,Spain,Eregtei,36,106190.55,1,Ugui,Tiim,22994.32,Ugui
15609618,721,Scotland,Eregtei,28,154475.54,2,Ugui,Tiim,101300.94,Tiim
15675522,628,Scotland,Emegtei,30,132351.29,2,Tiim,Tiim,74169.13,Ugui
15705512,668,Scotland,Emegtei,37,167864.4,1,Tiim,Ugui,115638.29,Ugui
15698028,506,Mongolia,Emegtei,41,0,2,Tiim,Ugui,31766.3,Ugui
15661670,524,Scotland,Emegtei,31,107818.63,1,Tiim,Ugui,199725.39,Tiim
15600781,699,Scotland,Eregtei,34,185173.81,2,Tiim,Ugui,120834.48,Ugui
15682472,828,Mongolia,Eregtei,34,129433.34,2,Ugui,Ugui,38131.77,Ugui
15580203,674,Spain,Eregtei,39,120193.42,1,Ugui,Ugui,100130.95,Ugui
15690673,656,Mongolia,Emegtei,39,0,2,Tiim,Ugui,141069.88,Ugui
15760085,684,Scotland,Emegtei,48,126384.42,1,Tiim,Tiim,198129.36,Ugui
15779659,625,Mongolia,Emegtei,28,0,1,Ugui,Ugui,183646.41,Ugui
15627360,432,Mongolia,Eregtei,42,152603.45,1,Tiim,Ugui,110265.24,Tiim
15671137,549,Mongolia,Emegtei,52,0,1,Ugui,Tiim,8636.05,Tiim
15782688,625,Scotland,Eregtei,56,148507.24,1,Tiim,Ugui,46824.08,Tiim
15575492,828,Mongolia,Emegtei,41,0,2,Tiim,Ugui,171378.77,Ugui
15591607,770,Mongolia,Eregtei,24,101827.07,1,Tiim,Ugui,167256.35,Ugui
15740404,758,Mongolia,Emegtei,34,0,2,Tiim,Tiim,124226.16,Ugui
15718369,795,Scotland,Emegtei,33,130862.43,1,Tiim,Tiim,114935.21,Ugui
15677871,687,Mongolia,Eregtei,38,122570.87,1,Tiim,Tiim,35608.88,Ugui
15642004,686,Mongolia,Eregtei,25,0,2,Ugui,Tiim,16459.37,Ugui
15712543,789,Scotland,Eregtei,39,124828.46,2,Tiim,Tiim,124411.08,Ugui
15584518,589,Scotland,Emegtei,50,144895.05,2,Tiim,Tiim,34941.23,Ugui
15802381,461,Scotland,Emegtei,34,63663.93,1,Ugui,Tiim,167784.28,Ugui
15610156,637,Mongolia,Eregtei,40,133463.1,1,Ugui,Tiim,93165.34,Ugui
15594408,584,Spain,Emegtei,48,213146.2,1,Tiim,Ugui,75161.25,Tiim
15640905,579,Spain,Emegtei,35,129490.36,2,Ugui,Tiim,8590.83,Tiim
15698932,756,Scotland,Eregtei,44,137452.09,1,Tiim,Ugui,189543.9,Ugui
15724944,663,Mongolia,Eregtei,34,0,2,Tiim,Tiim,180427.24,Ugui
15628145,682,Mongolia,Emegtei,43,125851.93,1,Tiim,Tiim,193318.33,Ugui
15713483,793,Spain,Eregtei,52,0,1,Tiim,Ugui,159123.82,Tiim
15612350,691,Mongolia,Emegtei,31,40915.55,1,Tiim,Ugui,126213.84,Tiim
15800703,485,Spain,Emegtei,21,113157.22,1,Tiim,Tiim,54141.5,Ugui
15705707,635,Spain,Emegtei,29,138296.94,2,Tiim,Ugui,141075.51,Ugui
15754105,650,Mongolia,Eregtei,37,106967.18,1,Ugui,Ugui,24495.03,Ugui
15703264,735,Mongolia,Eregtei,44,120681.63,1,Tiim,Ugui,74836.34,Ugui
15794413,416,Mongolia,Eregtei,32,0,2,Ugui,Tiim,878.87,Ugui
15650237,754,Spain,Emegtei,32,0,2,Tiim,Ugui,89520.75,Ugui
15759618,535,Mongolia,Emegtei,48,0,1,Tiim,Ugui,149892.79,Tiim
15811589,716,Spain,Eregtei,42,0,2,Tiim,Ugui,180800.42,Ugui
15689044,539,Mongolia,Eregtei,37,127609.59,1,Tiim,Ugui,98646.22,Ugui
15709368,614,Mongolia,Emegtei,43,0,2,Tiim,Tiim,109041.53,Ugui
15679145,706,Spain,Eregtei,57,0,1,Tiim,Ugui,17941.16,Tiim
15655007,758,Mongolia,Emegtei,33,0,2,Ugui,Ugui,82996.47,Ugui
15623595,586,Spain,Emegtei,28,0,2,Tiim,Tiim,92067.35,Ugui
15589975,646,Mongolia,Emegtei,73,97259.25,1,Ugui,Tiim,104719.66,Ugui
15804017,631,England,Emegtei,33,123246.7,1,Ugui,Ugui,112687.57,Ugui
15692132,717,Spain,Emegtei,22,101060.25,1,Ugui,Tiim,84699.56,Ugui
15641122,684,Mongolia,Eregtei,30,0,2,Tiim,Ugui,83473.82,Ugui
15630910,800,Mongolia,Emegtei,49,108007.36,1,Ugui,Ugui,47125.11,Ugui
15680772,721,Spain,Emegtei,36,0,2,Tiim,Tiim,106977.8,Ugui
15658929,683,Spain,Eregtei,29,133702.89,1,Tiim,Ugui,55582.54,Tiim
15585388,660,England,Eregtei,31,125189.75,2,Tiim,Tiim,139874.43,Ugui
15724623,704,England,Emegtei,24,113034.22,1,Tiim,Ugui,162503.48,Tiim
15588537,615,Spain,Emegtei,41,109013.23,1,Tiim,Ugui,196499.96,Ugui
15574692,667,Spain,Emegtei,39,0,2,Tiim,Ugui,40721.24,Tiim
15611325,682,England,Eregtei,24,57929.81,2,Ugui,Ugui,53134.3,Ugui
15587562,484,Mongolia,Emegtei,29,130114.39,1,Tiim,Ugui,164017.89,Ugui
15613172,628,England,Eregtei,27,95826.49,2,Tiim,Ugui,155996.96,Ugui
15651022,480,England,Eregtei,44,129608.57,1,Tiim,Ugui,5472.7,Tiim
15586310,578,Mongolia,Eregtei,30,169462.09,1,Tiim,Ugui,112187.11,Ugui
15625524,512,Mongolia,Eregtei,40,0,2,Tiim,Tiim,146457.83,Ugui
15755209,484,Spain,Emegtei,35,133868.21,1,Tiim,Tiim,27286.1,Ugui
15645248,510,Mongolia,Emegtei,30,0,2,Tiim,Tiim,130553.47,Ugui
15790355,606,England,Eregtei,36,190479.48,2,Ugui,Ugui,179351.89,Ugui
15762615,597,Spain,Emegtei,40,101993.12,1,Ugui,Tiim,94774.12,Ugui
15625426,754,England,Emegtei,55,161608.81,1,Tiim,Ugui,8080.85,Tiim
15716334,850,Spain,Emegtei,45,122311.21,1,Tiim,Tiim,19482.5,Ugui
15789669,510,Mongolia,Eregtei,65,0,2,Tiim,Tiim,48071.61,Ugui
15621075,778,England,Emegtei,45,162150.42,2,Tiim,Ugui,174531.27,Ugui
15810845,636,Mongolia,Eregtei,42,0,2,Tiim,Tiim,55470.78,Ugui
15719377,804,Mongolia,Emegtei,50,0,1,Tiim,Tiim,8546.87,Tiim
15654506,514,Mongolia,Eregtei,32,0,2,Tiim,Ugui,95857.18,Ugui
15771977,730,Mongolia,Emegtei,39,99010.67,1,Tiim,Ugui,194945.8,Ugui
15708710,525,Spain,Emegtei,37,0,1,Ugui,Tiim,131521.72,Ugui
15726676,616,Spain,Eregtei,30,0,2,Ugui,Tiim,196108.51,Ugui
15587421,687,England,Emegtei,34,111388.18,2,Tiim,Ugui,148564.76,Ugui
15726931,715,Mongolia,Emegtei,41,56214.85,2,Ugui,Ugui,92982.61,Tiim
15771086,512,Mongolia,Emegtei,36,84327.77,2,Tiim,Ugui,17675.36,Ugui
15756850,479,Mongolia,Eregtei,40,0,2,Ugui,Ugui,114996.43,Ugui
15702741,601,Mongolia,Eregtei,32,93012.89,1,Tiim,Ugui,86957.42,Ugui
15679200,580,Spain,Eregtei,29,61710.44,2,Tiim,Ugui,128077.8,Ugui
15594815,807,Mongolia,Eregtei,35,174790.15,1,Tiim,Tiim,600.36,Ugui
15635905,616,Spain,Emegtei,32,0,2,Tiim,Tiim,43001.46,Ugui
15777892,721,England,Eregtei,37,107720.64,1,Tiim,Tiim,158591.12,Ugui
15656176,501,Mongolia,Eregtei,57,0,2,Tiim,Tiim,47847.19,Ugui
15811127,521,Mongolia,Eregtei,35,96423.84,1,Tiim,Ugui,10488.44,Ugui
15604482,850,Spain,Eregtei,30,141040.01,1,Tiim,Tiim,5978.2,Ugui
15622911,759,Mongolia,Eregtei,42,105420.18,1,Ugui,Tiim,121409.06,Ugui
15600974,516,Spain,Eregtei,50,0,1,Ugui,Tiim,146145.93,Tiim
15727868,711,Mongolia,Emegtei,38,129022.06,2,Tiim,Tiim,14374.86,Tiim
15627801,512,Spain,Eregtei,33,176666.62,1,Tiim,Ugui,94670.77,Ugui
15773039,550,Mongolia,Eregtei,37,0,1,Tiim,Tiim,179670.31,Ugui
15755262,608,Spain,Emegtei,41,89763.84,1,Ugui,Ugui,199304.74,Tiim
15679531,618,Mongolia,Eregtei,34,134954.53,1,Tiim,Tiim,151954.39,Ugui
15684181,643,Mongolia,Eregtei,45,0,1,Tiim,Ugui,142513.5,Tiim
15612087,671,Mongolia,Eregtei,45,106376.85,1,Ugui,Tiim,158264.62,Ugui
15752047,689,England,Eregtei,33,161814.64,2,Tiim,Ugui,169381.9,Ugui
15624592,603,Mongolia,Eregtei,31,0,2,Tiim,Tiim,169915.02,Ugui
15573152,620,Mongolia,Emegtei,41,0,2,Ugui,Ugui,88852.47,Ugui
15594917,676,Mongolia,Emegtei,34,63095.01,1,Tiim,Tiim,40645.81,Ugui
15785542,572,England,Eregtei,26,118287.01,2,Ugui,Ugui,60427.3,Ugui
15723488,668,England,Eregtei,47,106854.21,1,Ugui,Tiim,157959.02,Tiim
15680920,695,Mongolia,Eregtei,46,49512.55,1,Tiim,Ugui,133007.34,Ugui
15786308,730,Spain,Emegtei,33,0,2,Ugui,Ugui,176576.62,Ugui
15659366,807,Mongolia,Eregtei,43,105799.32,2,Tiim,Ugui,34888.04,Tiim
15774854,592,Mongolia,Eregtei,54,0,1,Tiim,Tiim,28737.71,Tiim
15725311,726,Mongolia,Emegtei,31,114722.05,2,Tiim,Tiim,98178.57,Ugui
15787155,514,Spain,Eregtei,30,0,1,Ugui,Tiim,125010.24,Ugui
15727829,567,Mongolia,Eregtei,42,0,2,Tiim,Tiim,167984.61,Ugui
15733247,850,Mongolia,Eregtei,33,0,1,Tiim,Ugui,4861.72,Tiim
15568748,671,England,Eregtei,45,99564.22,1,Tiim,Tiim,108872.45,Tiim
15699029,670,Mongolia,Eregtei,37,170557.91,2,Tiim,Ugui,198252.88,Ugui
15774393,694,Mongolia,Emegtei,30,0,2,Tiim,Tiim,26960.31,Ugui
15676895,547,England,Emegtei,39,74596.15,3,Tiim,Tiim,85746.52,Tiim
15637753,751,England,Eregtei,50,96888.39,1,Tiim,Ugui,77206.25,Tiim
15605461,594,England,Emegtei,29,130830.22,1,Tiim,Ugui,61048.53,Ugui
15808473,673,Mongolia,Eregtei,72,0,2,Ugui,Tiim,111981.19,Ugui
15627000,610,Mongolia,Eregtei,40,0,2,Tiim,Ugui,62232.6,Ugui
15787174,512,Mongolia,Emegtei,37,0,2,Ugui,Tiim,156105.03,Ugui
15723886,767,England,Eregtei,20,119714.25,2,Ugui,Tiim,150135.38,Ugui
15704769,585,Mongolia,Emegtei,67,113978.97,2,Ugui,Tiim,93146.11,Ugui
15772896,763,England,Eregtei,42,100160.75,1,Tiim,Ugui,33462.94,Tiim
15711540,712,Mongolia,Emegtei,29,0,1,Tiim,Tiim,144375,Ugui
15764866,539,England,Emegtei,43,116220.5,3,Tiim,Ugui,55803.96,Tiim
15794056,668,Mongolia,Emegtei,46,0,3,Tiim,Ugui,89048.46,Tiim
15795149,703,Mongolia,Eregtei,28,81173.83,2,Ugui,Tiim,162812.16,Ugui
15812009,662,Spain,Eregtei,38,0,2,Tiim,Ugui,136259.65,Ugui
15651001,725,England,Emegtei,39,116803.8,1,Tiim,Ugui,124052.97,Ugui
15813844,703,Mongolia,Eregtei,37,105961.68,2,Ugui,Tiim,74158.8,Ugui
15596175,659,England,Eregtei,67,117411.6,1,Tiim,Tiim,45071.09,Tiim
15576269,523,Spain,Eregtei,34,0,2,Tiim,Ugui,62030.06,Ugui
15797219,635,Mongolia,Emegtei,40,123497.58,1,Tiim,Ugui,131953.23,Tiim
15685500,772,England,Eregtei,26,152400.51,2,Tiim,Ugui,79414,Ugui
15599792,545,Mongolia,Emegtei,26,0,2,Tiim,Tiim,199638.56,Ugui
15657566,634,England,Eregtei,24,103097.85,1,Tiim,Tiim,157577.29,Ugui
15772423,739,England,Eregtei,54,126418.14,1,Tiim,Ugui,134420.75,Tiim
15628112,771,England,Emegtei,36,77846.9,1,Ugui,Ugui,99805.99,Ugui
15753754,587,Spain,Emegtei,34,0,2,Tiim,Tiim,97932.68,Ugui
15793726,681,Mongolia,Emegtei,79,0,2,Ugui,Tiim,170968.99,Ugui
15694717,544,England,Eregtei,37,79731.91,1,Tiim,Tiim,57558.95,Ugui
15665834,696,Spain,Eregtei,28,0,1,Ugui,Ugui,176713.47,Ugui
15765297,766,Spain,Eregtei,41,0,2,Ugui,Tiim,34283.23,Ugui
15636684,727,Mongolia,Eregtei,34,0,2,Tiim,Tiim,198637.34,Ugui
15592979,671,England,Emegtei,34,37266.67,2,Ugui,Ugui,156917.12,Ugui
15750803,693,Mongolia,Emegtei,30,127992.25,1,Tiim,Tiim,50457.2,Ugui
15607178,850,England,Eregtei,38,54901.01,1,Tiim,Tiim,140075.55,Ugui
15713853,732,England,Eregtei,42,108748.08,2,Tiim,Tiim,65323.11,Ugui
15673481,726,Spain,Emegtei,48,99906.19,1,Tiim,Ugui,64323.24,Ugui
15686776,557,Mongolia,Emegtei,32,184686.41,2,Tiim,Ugui,14956.44,Ugui
15673693,682,Mongolia,Emegtei,26,110654.02,1,Ugui,Tiim,111879.21,Ugui
15700696,738,Spain,Eregtei,31,79019.8,1,Tiim,Tiim,18606.23,Ugui
15813163,531,Spain,Emegtei,36,99240.51,1,Tiim,Ugui,123137.01,Ugui
15653857,498,Mongolia,Eregtei,34,0,2,Tiim,Tiim,148528.24,Ugui
15777076,651,Mongolia,Eregtei,36,0,2,Tiim,Ugui,13898.31,Ugui
15717398,549,Spain,Emegtei,39,0,1,Ugui,Ugui,81259.25,Tiim
15799217,791,England,Emegtei,35,52436.2,1,Tiim,Ugui,161051.75,Ugui
15787071,650,Spain,Eregtei,41,0,2,Ugui,Tiim,191599.67,Ugui
15619955,733,England,Eregtei,34,100337.96,3,Tiim,Ugui,48559.19,Tiim
15796505,811,England,Emegtei,34,149297.19,2,Tiim,Tiim,186339.74,Ugui
15725166,707,Mongolia,Eregtei,30,0,2,Tiim,Ugui,33159.37,Ugui
15800116,712,England,Eregtei,28,145605.44,1,Ugui,Tiim,93883.53,Ugui
15758685,706,Spain,Emegtei,37,0,2,Tiim,Tiim,110899.3,Ugui
15694456,756,Mongolia,Eregtei,62,0,1,Tiim,Tiim,11199.04,Tiim
15767339,777,Mongolia,Emegtei,53,0,2,Tiim,Ugui,189992.97,Ugui
15683562,646,Mongolia,Eregtei,35,84026.86,1,Ugui,Tiim,164255.69,Ugui
15782210,714,Mongolia,Eregtei,46,0,1,Tiim,Ugui,152167.79,Tiim
15668893,782,Mongolia,Eregtei,39,0,2,Tiim,Tiim,33949.67,Ugui
15669169,775,Spain,Eregtei,29,0,2,Tiim,Tiim,68143.93,Ugui
15643024,479,England,Eregtei,35,138718.92,1,Tiim,Tiim,47251.79,Tiim
15699389,807,Mongolia,Eregtei,42,118274.71,1,Tiim,Tiim,25885.72,Ugui
15708608,799,Mongolia,Emegtei,22,174185.98,2,Ugui,Tiim,192633.85,Ugui
15626144,675,Mongolia,Eregtei,40,113208.86,2,Tiim,Ugui,34577.36,Ugui
15573112,602,Spain,Eregtei,29,103907.28,1,Tiim,Ugui,161229.84,Ugui
15790678,475,Mongolia,Emegtei,32,119023.28,1,Tiim,Ugui,100816.29,Ugui
15727556,744,Spain,Emegtei,26,166297.89,1,Tiim,Tiim,181694.44,Ugui
15697307,588,Spain,Eregtei,34,0,2,Tiim,Ugui,79078.91,Ugui
15652266,703,England,Eregtei,42,63227,1,Ugui,Tiim,137316.32,Ugui
15607098,747,Spain,Emegtei,41,94521.17,2,Tiim,Ugui,194926.86,Ugui
15655774,583,Mongolia,Eregtei,27,0,2,Tiim,Ugui,51285.49,Ugui
15590241,750,Spain,Emegtei,34,112822.26,1,Ugui,Ugui,150401.53,Tiim
15785819,681,Mongolia,Eregtei,38,0,2,Tiim,Tiim,112491.96,Ugui
15723654,773,Mongolia,Eregtei,25,135903.33,1,Tiim,Ugui,73656.38,Ugui
15774510,714,Mongolia,Emegtei,31,125169.26,1,Tiim,Tiim,106636.89,Ugui
15684173,687,Spain,Emegtei,44,0,3,Tiim,Ugui,155853.52,Tiim
15650068,511,Mongolia,Eregtei,58,149117.31,1,Tiim,Tiim,162599.51,Ugui
15811490,627,Mongolia,Eregtei,33,0,2,Tiim,Tiim,103737.82,Ugui
15803976,694,Mongolia,Emegtei,31,0,2,Tiim,Ugui,160990.27,Ugui
15682541,616,Spain,Emegtei,36,132311.71,1,Ugui,Ugui,15462.84,Ugui
15695699,687,Mongolia,Eregtei,35,0,2,Tiim,Ugui,10334.05,Ugui
15624188,712,Mongolia,Emegtei,33,0,2,Tiim,Tiim,190686.16,Ugui
15812191,553,Mongolia,Eregtei,33,118082.89,1,Ugui,Ugui,94440.45,Ugui
15636673,667,Mongolia,Eregtei,31,119266.69,1,Tiim,Tiim,28257.63,Ugui
15594898,731,Mongolia,Eregtei,43,0,1,Tiim,Tiim,170034.95,Tiim
15660211,629,England,Eregtei,35,156847.29,2,Tiim,Ugui,31824.29,Ugui
